,meta_pin,meta_year,meta_class,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
384064,13242050110000,2020.0,203,4125.0,96.0,4.0,3.0,0.0,2.0,0.0,1383.0,-87.68948689613212,41.95099556562307
384065,13242050120000,2020.0,278,4125.0,22.0,9.0,3.0,1.0,1.0,0.0,2146.0,-87.68936572015834,41.9509965325614
384066,13242050130000,2020.0,204,4125.0,93.0,6.0,3.0,1.0,2.0,0.0,1853.0,-87.68924458144137,41.95099749956467
384067,13242050140000,2020.0,206,4125.0,96.0,7.0,3.0,0.0,2.0,0.0,2456.0,-87.68912347928283,41.95099846629396
384068,13242050160000,2020.0,204,4112.0,94.0,6.0,3.0,1.0,2.0,0.0,1853.0,-87.69044158167888,41.95060179705506
384069,13242050170000,2020.0,204,4125.0,97.0,6.0,3.0,0.0,1.0,1.0,1826.0,-87.69032040691235,41.95060276500897
384070,13242050180000,2020.0,203,4125.0,97.0,6.0,3.0,0.0,1.0,1.0,1692.0,-87.69019923318118,41.95060374589928
384071,13242050190000,2020.0,203,4125.0,97.0,6.0,3.0,0.0,1.0,1.0,1208.0,-87.69007801907901,41.95060472771213
384072,13242050200000,2020.0,203,4125.0,97.0,6.0,3.0,0.0,1.0,0.0,1160.0,-87.68995684386836,41.95060569510017
384073,13242050210000,2020.0,203,4125.0,97.0,6.0,3.0,0.0,1.0,1.0,1160.0,-87.6898356682326,41.95060666268481
384074,13242050220000,2020.0,203,4125.0,97.0,6.0,3.0,0.0,1.0,0.0,1160.0,-87.68971447392298,41.95060761259758
384075,13242050230000,2020.0,203,4125.0,97.0,6.0,3.0,1.0,1.0,0.0,1160.0,-87.68959330057048,41.95060861434915
384076,13242050240000,2020.0,206,4125.0,97.0,7.0,4.0,1.0,2.0,1.0,2408.0,-87.6894721067964,41.9506095639873
384077,13242050250000,2020.0,204,4125.0,97.0,8.0,4.0,0.0,2.0,0.0,2235.0,-87.68935093157543,41.95061053073571
384078,13242050260000,2020.0,204,4125.0,13.0,8.0,4.0,0.0,2.0,1.0,2235.0,-87.68922979268862,41.95061149788691
384079,13242050270000,2020.0,206,4125.0,97.0,7.0,4.0,0.0,1.0,1.0,2508.0,-87.68910869104218,41.950612465020754
384080,13242070220000,2020.0,278,3958.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69063847476593,41.94967962158335
384081,13242070230000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69052375488509,41.94968118541057
384082,13242070240000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.6904076622109,41.94968218505693
384083,13242070250000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69028980505234,41.94968275367585
384084,13242070260000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69017610730329,41.94968454067169
384085,13242070270000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.69006070373315,41.94968534813246
384086,13242070280000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.6899416416226,41.9496843256542
384087,13242070290000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68982063413031,41.94968849464037
384088,13242070300000,2020.0,278,4118.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68969793377073,41.949688162089856
384089,13242070310000,2020.0,278,3958.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.6896464019291,41.95008372042994
384090,13242070320000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.68975865335138,41.95008274179817
384091,13242070330000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3044.0,-87.68987664834053,41.950081945804364
384092,13242070340000,2020.0,278,3906.0,18.0,13.0,4.0,0.0,3.0,1.0,3005.0,-87.68999657063614,41.95008113882016
