,meta_pin,meta_year,meta_class,meta_sale_price,char_hd_sf,char_age,char_rooms,char_beds,char_frpl,char_fbath,char_hbath,char_bldg_sf,geo_longitude,geo_latitude
143334,14191110020000,2015.0,206,1090000.0,3720.0,105.0,6.0,3.0,1.0,3.0,1.0,2518.0,-87.68440639529406,41.952041320814494
143338,14191110130000,2014.0,206,700000.0,3720.0,116.0,9.0,4.0,0.0,2.0,0.0,2234.0,-87.68437753913365,41.95113621301651
143339,14191110130000,2015.0,206,1850000.0,3720.0,117.0,9.0,4.0,0.0,2.0,0.0,2234.0,-87.68437753913365,41.95113621301651
143340,14191110160000,2017.0,204,950000.0,3720.0,114.0,7.0,3.0,0.0,2.0,0.0,1836.0,-87.68436967580787,41.95088935421019
143343,14191110230000,2016.0,278,1880000.0,3720.0,2.0,9.0,5.0,2.0,3.0,1.0,3326.0,-87.6838892726622,41.95188419181849
143346,14191120050000,2014.0,204,725000.0,3596.0,111.0,7.0,4.0,0.0,1.0,0.0,1816.0,-87.68319210438705,41.951820346094024
143348,14191120120000,2020.0,206,1335000.0,3596.0,117.0,9.0,4.0,0.0,3.0,0.0,2934.0,-87.68317662360393,41.951263773735796
143349,14191120130000,2013.0,206,950000.0,3596.0,109.0,10.0,3.0,0.0,2.0,0.0,2340.0,-87.68317445205997,41.95118430225266
143354,14191120200000,2016.0,203,645000.0,3100.0,112.0,7.0,3.0,0.0,1.0,0.0,1285.0,-87.68268296693968,41.95191569221904
143355,14191120200000,2017.0,278,1555000.0,3100.0,3.0,7.0,3.0,0.0,1.0,0.0,1285.0,-87.68268296693968,41.95191569221904
143360,14191120320000,2016.0,278,1840000.0,3720.0,2.0,8.0,4.0,1.0,3.0,1.0,3281.0,-87.68265611582132,41.95096262727262
143361,14191120350000,2015.0,206,1150000.0,3509.0,107.0,10.0,4.0,1.0,3.0,1.0,2298.0,-87.68308611928904,41.95070571094573
143362,14191120390000,2016.0,278,1475000.0,3630.0,10.0,8.0,3.0,2.0,3.0,1.0,3528.0,-87.68266045422399,41.95071154473466
143363,14191120390000,2020.0,278,1550000.0,3630.0,14.0,8.0,3.0,2.0,3.0,1.0,3528.0,-87.68266045422399,41.95071154473466
143364,14191130020000,2019.0,206,875000.0,3472.0,127.0,9.0,4.0,0.0,3.0,2.0,2228.0,-87.68198972030741,41.95205819470176
